contraman55,,2019-02-12 14:31:00,18.337,VNDA 11 down days in a row Can we break that streak today
classhopper,True,2019-02-12 12:18:00,18.551,VNDA so oversold it isnt even funny Not for the weak of heart here
classhopper,True,2019-02-12 11:53:00,18.54,VNDA headed to 19
ag2,,2019-02-12 11:12:00,18.355,VNDA u can thank me later It will improve ur results TREMENDOUSLY
ag2,,2019-02-12 11:11:00,18.34,VNDA is out there twitter stocktwits etc and watch price action only
ag2,,2019-02-12 11:11:00,18.34,VNDA become a better trader and make money 9 out of 10 Start by leaving every kind a idiot room there
ag2,,2019-02-12 11:11:00,18.34,VNDA stay away from those people at EVERY PRICE Its about making money its not about being right
ag2,,2019-02-12 11:10:00,18.343,VNDA in front of earnings call and other idiots calling buy it all down here its ridiculous
ag2,,2019-02-12 11:10:00,18.343,VNDA u gonna have winners and losers in this buis Its the way it is Idiots here calling short trade 2 days
ag2,,2019-02-12 11:09:00,18.322,VNDA Leverage support and resistance BLOCK EVERRYTHING ELSE ONLY USELESS NOISE
ag2,,2019-02-12 11:09:00,18.322,VNDA leave twitter stocktwits and everything there is out there Only watch price action
ag2,,2019-02-12 11:08:00,18.333,VNDA ITS 100 USELESS
ag2,,2019-02-12 11:08:00,18.333,VNDA taking and moving next Its very nice example of why u should just stop listen to news and people they all talk shit
classhopper,True,2019-02-12 10:35:00,18.26,VNDA should be up to 1900 by now Just sayin
classhopper,True,2019-02-12 10:16:00,18.16,VNDA dont be scared by these complaints They attack drug companies daily Look at AGN Take advantage of dip
classhopper,True,2019-02-12 10:15:00,18.129,VNDA drug companies have the same law firms filing against them in tandem daily Complaints are just routine part of game
taguru,,2019-02-12 10:08:00,18.154,VNDA Vanda Pharmaceuticals VNDA 1800 was the stock markets top loser yesterday falling 501 tickeroncomeventid604368
classhopper,True,2019-02-12 09:59:00,18.205,VNDA stock investing is NOT for weak of heartVNDA is a bargain now because of all the hoola It is a strong BUY now
